,Description,Measure,"Fatty acids, total polyunsaturated(g)Per Measure","Fiber, total dietary(g)Per 100 g","Fatty acids, total saturated(g)Per Measure","Carbohydrate, by difference(g)Per Measure","Sugars, total(g)Per Measure",Protein(g)Per Measure,"Sodium, Na(mg)Per Measure","Magnesium, Mg(mg)Per Measure","Phosphorus, P(mg)Per Measure","Calcium, Ca(mg)Per Measure","Manganese, Mn(mg)Per Measure","Potassium, K(mg)Per Measure","Selenium, Se(Âµg)Per Measure","Iron, Fe(mg)Per Measure","Fluoride, F(Âµg)Per Measure","Zinc, Zn(mg)Per Measure",Vitamin B-6 (mg) Per Measure,Riboflavin(mg)Per Measure,Vitamin B-12 (Âµg) Per Measure,Vitamin D2 (ergocalciferol) (Âµg) Per Measure,Vitamin D (IU) Per Measure,Pantothenic Acid(mg)Per Measure,"Vitamin C, Total Ascorbic Acid (mg) Per Measure",Vitamin K (phylloquinone) (Âµg) Per Measure,Vitamin E (alpha-tocopherol) (mg) Per Measure,"Folate, total(Âµg)Per Measure","Choline, total(mg)Per Measure",Niacin(mg)Per 100 g
151,"Mangos, raw",1.0 cups pieces,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,
152,"Apples, raw, without skin",1.0 cups slices,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,
153,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,,,,,,,,,,,,0.834,,,,,,,,,,,
154,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,,,,,,,,,,,,,,0.518,,,,,,,,,,,
155,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,,,,,,,,,,,,0.473,,,,,,,,,,,
156,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,,,,,,,,0.274,,,,,,,,,,,
157,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,,,,,,,,,,,,0.258,,,,,,,,,,,
158,"Mangos, raw",1.0 cups pieces,,,,,,,,,,,,,,,,,0.196,,,,,,,,,,,
159,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,,,,,,,,0.188,,,,,,,,,,,
160,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,,,,,,,,,,,0.118,,,,,,,,,,,
161,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,,,,,,,,,,,,,,,,0.078,,,,,,,,,,,
162,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,,,,,,,,,,0.043,,,,,,,,,,,
163,"Apples, raw, without skin",1.0 cups slices,,,,,,,,,,,,,,,,,0.041,,,,,,,,,,,
164,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,,,,,,,,,,,,,,,0.349,,,,,,,,,,
165,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,,,,,,,,,,,,,0.198,,,,,,,,,,
166,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,,,,,,,,,,,,0.149,,,,,,,,,,
167,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,,,,,,,,,,,,,0.135,,,,,,,,,,
168,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,,,,,,,,,,,,,0.104,,,,,,,,,,
169,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,,,,,,,,,,,0.089,,,,,,,,,,
170,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,,,,,,,,,,,,,,,,,0.082,,,,,,,,,,
171,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,,,,,,,,,0.076,,,,,,,,,,
172,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,,,,,,,,,0.073,,,,,,,,,,
173,"Mangos, raw",1.0 cups pieces,,,,,,,,,,,,,,,,,,0.063,,,,,,,,,,
174,"Apples, raw, without skin",1.0 cups slices,,,,,,,,,,,,,,,,,,0.031,,,,,,,,,,
175,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,,,,,,,,,,,,,,3.81,,,,,,,,,
176,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,,,,,,,,,,2.92,,,,,,,,,
177,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,,,,,,,,,,,,,,1.86,,,,,,,,,
178,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,,,,,,,,,,1.83,,,,,,,,,
179,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,
180,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,,,,,,,,,,,,539.0,,,,,,,
181,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,,,,,,,,,,,,144.0,,,,,,,
182,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,,,,,,,,,,,,,,,,,,,1.765,,,,,,
