,Description,Measure,Vitamin B-6 (mg) Per Measure,Riboflavin(mg)Per Measure,Vitamin B-12 (µg) Per Measure,Vitamin D2 (ergocalciferol) (µg) Per Measure,Vitamin D (IU) Per Measure,Pantothenic Acid(mg)Per Measure,"Vitamin C, Total Ascorbic Acid (mg) Per Measure",Vitamin K (phylloquinone) (µg) Per Measure,Vitamin E (alpha-tocopherol) (mg) Per Measure,"Folate, total(µg)Per Measure","Choline, total(mg)Per Measure",Niacin(mg)Per 100 g
122,"Pork, fresh, shoulder, whole, separable lean and fat, cooked, roasted","1.0 cups, diced",0.389,,,,,,,,,,,
123,"Fish, herring, Pacific, raw",3.0 oz,0.383,,,,,,,,,,,
124,"Tomato products, canned, sauce, with tomato tidbits",1.0 cups,0.378,,,,,,,,,,,
125,"Snacks, trail mix, regular, with chocolate chips, unsalted nuts and seeds",1.0 cups,0.378,,,,,,,,,,,
126,"Turkey, retail parts, thigh, meat and skin, cooked, roasted",3.0 oz,0.377,,,,,,,,,,,
127,"Chicken, broilers or fryers, back, meat only, raw",4.0 oz,0.373,,,,,,,,,,,
128,"Cornmeal, whole-grain, white",1.0 cups,0.371,,,,,,,,,,,
129,"Lamb, Australian, imported, fresh, leg, sirloin chops, boneless, separable lean and fat, trimmed to 1/8"" fat, cooked, broiled",3.0 oz,0.365,,,,,,,,,,,
130,"Turkey, whole, dark meat, meat and skin, cooked, roasted",3.0 oz,0.365,,,,,,,,,,,
131,"Fish, tuna, white, canned in oil, drained solids",3.0 oz,0.365,,,,,,,,,,,
132,"Pork, cured, ham, shank, bone-in, separable lean and fat, unheated",3.0 oz,0.365,,,,,,,,,,,
133,"Bamboo shoots, raw","1.0 cups (1/2"" slices)",0.362,,,,,,,,,,,
134,"Potatoes, baked, skin, without salt",1.0 skin,0.356,,,,,,,,,,,
135,"Squash, winter, hubbard, baked, with salt","1.0 cups, cubes",0.353,,,,,,,,,,,
136,"Chicken, broilers or fryers, leg, meat and skin, cooked, roasted",3.0 oz,0.351,,,,,,,,,,,
137,"Peanuts, valencia, oil-roasted, without salt",1.0 cups,0.35,,,,,,,,,,,
138,"Burdock root, cooked, boiled, drained, without salt","1.0 cups (1"" pieces)",0.349,,,,,,,,,,,
139,"Squab, (pigeon), meat and skin, raw",3.0 oz,0.349,,,,,,,,,,,
140,"Chicken, broilers or fryers, meat and skin, cooked, fried, flour",3.0 oz,0.349,,,,,,,,,,,
141,"Squash, summer, zucchini, italian style, canned",1.0 cups,0.345,,,,,,,,,,,
142,"Beef, round, top round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",3.0 oz,0.343,,,,,,,,,,,
143,"Fish, wolffish, Atlantic, raw",3.0 oz,0.34,,,,,,,,,,,
144,"Fish, mackerel, spanish, raw",3.0 oz,0.34,,,,,,,,,,,
145,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",3.0 oz,0.34,,,,,,,,,,,
146,"Beef, ground, 90% lean meat / 10% fat, patty, cooked, broiled",3.0 oz,0.337,,,,,,,,,,,
147,"Potatoes, mashed, dehydrated, prepared from granules with milk, water and margarine added",1.0 cups,0.336,,,,,,,,,,,
148,"Lamb, Australian, imported, fresh, composite of trimmed retail cuts, separable lean only, trimmed to 1/8"" fat, cooked",3.0 oz,0.335,,,,,,,,,,,
149,"Seeds, safflower seed meal, partially defatted",1.0 oz,0.329,,,,,,,,,,,
150,"Lima beans, immature seeds, cooked, boiled, drained, without salt",1.0 cups,0.328,,,,,,,,,,,
151,"Game meat, bison, ground, cooked, pan-broiled",1.0 patty ( yield from 112.7 g raw meat ),0.326,,,,,,,,,,,
152,"Sweet potato, cooked, baked in skin, flesh, with salt","1.0 medium (2"" dia, 5"" long, raw)",0.326,,,,,,,,,,,
153,"Grapefruit juice, white, frozen concentrate, unsweetened, undiluted",1.0 can (6 fl oz),0.319,,,,,,,,,,,
154,"Peas, mature seeds, sprouted, raw",1.0 cups,0.318,,,,,,,,,,,
155,"Soup, beef and vegetables, canned, ready-to-serve",1.0 cups,0.315,,,,,,,,,,,
156,"Tomato products, canned, puree, without salt added",1.0 cups,0.315,,,,,,,,,,,
157,"Tomato products, canned, puree, with salt added",1.0 cups,0.315,,,,,,,,,,,
158,"Beef, shank crosscuts, separable lean only, trimmed to 1/4"" fat, choice, cooked, simmered",3.0 oz,0.315,,,,,,,,,,,
159,"Fish, burbot, cooked, dry heat",1.0 fillet,0.311,,,,,,,,,,,
160,"Mollusks, octopus, common, raw",3.0 oz,0.306,,,,,,,,,,,
161,"Rice, white, long-grain, regular, raw, unenriched",1.0 cups,0.303,,,,,,,,,,,
162,"Mountain yam, hawaii, cooked, steamed, without salt","1.0 cups, cubes",0.303,,,,,,,,,,,
163,"Fish, grouper, mixed species, cooked, dry heat",3.0 oz,0.297,,,,,,,,,,,
164,"Peppers, pasilla, dried",1.0 pepper,0.296,,,,,,,,,,,
165,"Fish, lingcod, cooked, dry heat",3.0 oz,0.294,,,,,,,,,,,
