,Description,Measure,Vitamin B-6 (mg) Per Measure,Riboflavin(mg)Per Measure,Vitamin B-12 (µg) Per Measure,Vitamin D2 (ergocalciferol) (µg) Per Measure,Vitamin D (IU) Per Measure,Pantothenic Acid(mg)Per Measure,"Vitamin C, Total Ascorbic Acid (mg) Per Measure",Vitamin K (phylloquinone) (µg) Per Measure,Vitamin E (alpha-tocopherol) (mg) Per Measure,"Folate, total(µg)Per Measure","Choline, total(mg)Per Measure",Niacin(mg)Per 100 g
9319,"Infant formula, MEAD JOHNSON, ENFAMIL, Premature, 24 calories ready-to-feed Low iron",,,,,,,,,,,,,2.623
9320,"Infant formula, MEAD JOHNSON, ENFAMIL, Premature, with iron, 20 calories, ready-to-feed",,,,,,,,,,,,,2.623
9321,"Infant formula, MEAD JOHNSON, ENFAMIL, Premature, with iron, 24 calories, ready-to-feed",,,,,,,,,,,,,2.623
9322,"Infant Formula, MEAD JOHNSON, ENFAMIL, Premium LIPIL, Infant, Liquid concentrate, not reconstituted",,,,,,,,,,,,,1.291
9323,"Infant Formula, MEAD JOHNSON, ENFAMIL, Premium LIPIL, Infant, powder",,,,,,,,,,,,,5.0
9324,"Infant Formula, MEAD JOHNSON, ENFAMIL, Premium, Infant, Liquid concentrate, not reconstituted",,,,,,,,,,,,,1.283
9325,"Infant Formula, MEAD JOHNSON, ENFAMIL, Premium, Infant, powder",,,,,,,,,,,,,5.0
9326,"Infant Formula, MEAD JOHNSON, ENFAMIL, Premium, Infant, ready-to-feed",,,,,,,,,,,,,0.657
9327,"Infant formula, MEAD JOHNSON, ENFAMIL, PROSOBEE, liquid concentrate, reconstituted, with ARA and DHA",,,,,,,,,,,,,0.65
9328,"Infant formula, MEAD JOHNSON, ENFAMIL, PROSOBEE, with iron, powder, not reconstituted, with ARA and DHA",,,,,,,,,,,,,5.1
9329,"Infant formula, MEAD JOHNSON, ENFAMIL, with iron, powder",,,,,,,,,,,,,5.2
9330,"Infant formula, MEAD JOHNSON, Gentlease, ready to feed, with ARA and DHA",,,,,,,,,,,,,0.66
9331,"Infant formula, MEAD JOHNSON, NEXT STEP PROSOBEE, powder, not reconstituted",,,,,,,,,,,,,4.7
9332,"Infant formula, MEAD JOHNSON, NEXT STEP, PROSOBEE LIPIL, powder, with ARA and DHA",,,,,,,,,,,,,4.7
9333,"Infant formula, MEAD JOHNSON, NEXT STEP, PROSOBEE, LIPIL, ready to feed, with ARA and DHA",,,,,,,,,,,,,0.66
9334,"Infant formula, MEAD JOHNSON, Pregestimil 24 Calories, ready to feed, with ARA and DHA",,,,,,,,,,,,,0.78
9335,"Infant formula, MEAD JOHNSON, PREGESTIMIL, with iron, powder, with ARA and DHA, not reconstituted",,,,,,,,,,,,,5.0
9336,"Infant formula, MEAD JOHNSON, PREGESTIMIL, with iron, with ARA and DHA, prepared from powder",,,,,,,,,,,,,0.66
9337,"Infant formula, MEAD JOHNSON, PROSOBEE, with iron, ready to feed, with ARA and DHA",,,,,,,,,,,,,0.66
9338,"Infant formula, MEAD JOHNSON, PROSOBEE, with iron, ready-to-feed",,,,,,,,,,,,,0.66
9339,"Infant formula, MEAD JOHNSON,NEXT STEP PROSOBEE, prepared from powder",,,,,,,,,,,,,0.66
9340,"Infant formula, NESTLE, GOOD START ESSENTIALS SOY, with iron, powder",,,,,,,,,,,,,6.513
9341,"Infant formula, NESTLE, GOOD START SOY, with ARA and DHA, powder",,,,,,,,,,,,,6.764
9342,"Infant formula, NESTLE, GOOD START SOY, with DHA and ARA, liquid concentrate",,,,,,,,,,,,,1.784
9343,"Infant formula, NESTLE, GOOD START SOY, with DHA and ARA, ready-to-feed",,,,,,,,,,,,,0.864
9344,"Infant formula, NESTLE, GOOD START SUPREME, with iron, DHA and ARA, prepared from liquid concentrate",,,,,,,,,,,,,0.693
9345,"Infant formula, NESTLE, GOOD START SUPREME, with iron, DHA and ARA, ready-to-feed",,,,,,,,,,,,,0.693
9346,"Infant formula, NESTLE, GOOD START SUPREME, with iron, liquid concentrate, not reconstituted",,,,,,,,,,,,,1.33
9347,"Infant formula, NESTLE, GOOD START SUPREME, with iron, powder",,,,,,,,,,,,,5.38
9348,"Infant formula, PBM PRODUCTS, store brand, liquid concentrate, not reconstituted",,,,,,,,,,,,,0.99
9349,"Infant formula, PBM PRODUCTS, store brand, powder",,,,,,,,,,,,,3.94
9350,"Infant formula, PBM PRODUCTS, store brand, ready-to-feed",,,,,,,,,,,,,0.49
9351,"Infant formula, PBM PRODUCTS, store brand, soy, liquid concentrate, not reconstituted",,,,,,,,,,,,,0.98
9352,"Infant formula, PBM PRODUCTS, store brand, soy, powder",,,,,,,,,,,,,3.78
9353,"Infant formula, PBM PRODUCTS, store brand, soy, ready-to-feed",,,,,,,,,,,,,0.49
9354,"Jackfruit, canned, syrup pack",,,,,,,,,,,,,0.677
9355,"Jackfruit, raw",,,,,,,,,,,,,0.92
9356,Jams and preserves,,,,,,,,,,,,,0.036
9357,"Jams and preserves, apricot",,,,,,,,,,,,,0.036
9358,"Jams, preserves, marmalade, reduced sugar",,,,,,,,,,,,,0.08
9359,"Jams, preserves, marmalades, sweetened with fruit juice",,,,,,,,,,,,,0.203
9360,"Java-plum, (jambolan), raw",,,,,,,,,,,,,0.26
9361,Jellies,,,,,,,,,,,,,0.036
9362,"Jellies, no sugar (with sodium saccharin), any flavors",,,,,,,,,,,,,0.22
9363,"Jellies, reduced sugar, home preserved",,,,,,,,,,,,,0.14
9364,"Jellyfish, dried, salted",,,,,,,,,,,,,0.2
9365,"Jerusalem-artichokes, raw",,,,,,,,,,,,,1.3
9366,"Jew's ear, (pepeao), raw",,,,,,,,,,,,,0.07
9367,"JIMMY DEAN, Sausage, Egg, and Cheese Breakfast Biscuit, frozen, unprepared",,,,,,,,,,,,,2.183
9368,"Juice, apple and grape blend, with added ascorbic acid",,,,,,,,,,,,,0.087
9369,"Juice, apple, grape and pear blend, with added ascorbic acid and calcium",,,,,,,,,,,,,0.094
9370,"Jute, potherb, cooked, boiled, drained, with salt",,,,,,,,,,,,,0.89
9371,"Jute, potherb, cooked, boiled, drained, without salt",,,,,,,,,,,,,0.89
9372,"Jute, potherb, raw",,,,,,,,,,,,,1.26
9373,"Kale, cooked, boiled, drained, with salt",,,,,,,,,,,,,0.457
9374,"Kale, cooked, boiled, drained, without salt",,,,,,,,,,,,,0.457
9375,"Kale, frozen, cooked, boiled, drained, with salt",,,,,,,,,,,,,0.457
9376,"Kale, frozen, cooked, boiled, drained, without salt",,,,,,,,,,,,,0.457
9377,"Kale, frozen, unprepared",,,,,,,,,,,,,0.698
9378,"Kale, raw",,,,,,,,,,,,,1.18
9379,"Kanpyo, (dried gourd strips)",,,,,,,,,,,,,2.9
9380,"Kefir, lowfat, plain, LIFEWAY",,,,,,,,,,,,,0.15
9381,"Kefir, lowfat, strawberry, LIFEWAY",,,,,,,,,,,,,0.105
9382,"KFC, biscuit",,,,,,,,,,,,,3.897
9383,"KFC, Coleslaw",,,,,,,,,,,,,0.206
9384,"KFC, Crispy Chicken Strips",,,,,,,,,,,,,8.562
9385,"KFC, Fried Chicken, EXTRA CRISPY, Breast, meat and skin with breading",,,,,,,,,,,,,8.139
9386,"KFC, Fried Chicken, EXTRA CRISPY, Breast, meat only, skin and breading removed",,,,,,,,,,,,,10.897
9387,"KFC, Fried Chicken, EXTRA CRISPY, Drumstick, meat and skin with breading",,,,,,,,,,,,,4.601
9388,"KFC, Fried Chicken, EXTRA CRISPY, Drumstick, meat only, skin and breading removed",,,,,,,,,,,,,5.244
9389,"KFC, Fried Chicken, EXTRA CRISPY, Thigh, meat and skin with breading",,,,,,,,,,,,,4.451
9390,"KFC, Fried Chicken, EXTRA CRISPY, Thigh, meat only, skin and breading removed",,,,,,,,,,,,,5.317
9391,"KFC, Fried Chicken, EXTRA CRISPY, Wing, meat and skin with breading",,,,,,,,,,,,,5.488
9392,"KFC, Fried Chicken, EXTRA CRISPY, Wing, meat only, skin and breading removed",,,,,,,,,,,,,7.136
9393,"KFC, Fried Chicken, ORIGINAL RECIPE, Breast, meat and skin with breading",,,,,,,,,,,,,8.596
9394,"KFC, Fried Chicken, ORIGINAL RECIPE, Breast, meat only, skin and breading removed",,,,,,,,,,,,,8.667
9395,"KFC, Fried Chicken, ORIGINAL RECIPE, Drumstick, meat and skin with breading",,,,,,,,,,,,,4.993
9396,"KFC, Fried Chicken, ORIGINAL RECIPE, Drumstick, meat only, skin and breading removed",,,,,,,,,,,,,5.277
9397,"KFC, Fried Chicken, ORIGINAL RECIPE, Thigh, meat and skin with breading",,,,,,,,,,,,,5.524
9398,"KFC, Fried Chicken, ORIGINAL RECIPE, Thigh, meat only, skin and breading removed",,,,,,,,,,,,,5.61
9399,"KFC, Fried Chicken, ORIGINAL RECIPE, Wing, meat and skin with breading",,,,,,,,,,,,,6.335
9400,"KFC, Fried Chicken, ORIGINAL RECIPE, Wing, meat only, skin and breading removed",,,,,,,,,,,,,7.18
9401,"KFC, Popcorn Chicken",,,,,,,,,,,,,8.108
9402,"Kielbasa, fully cooked, grilled",,,,,,,,,,,,,3.727
9403,"Kielbasa, fully cooked, pan-fried",,,,,,,,,,,,,3.694
9404,"Kielbasa, fully cooked, unheated",,,,,,,,,,,,,3.148
9405,"Kiwifruit, green, raw",,,,,,,,,,,,,0.341
9406,"Kiwifruit, ZESPRI SunGold, raw",,,,,,,,,,,,,0.231
9407,"Knackwurst, knockwurst, pork, beef",,,,,,,,,,,,,2.734
9408,"Kohlrabi, cooked, boiled, drained, with salt",,,,,,,,,,,,,0.39
9409,"Kohlrabi, cooked, boiled, drained, without salt",,,,,,,,,,,,,0.39
9410,"Kohlrabi, raw",,,,,,,,,,,,,0.4
9411,"Kraft, Stove Top Stuffing Mix Chicken Flavor",,,,,,,,,,,,,3.84
9412,"Kumquats, raw",,,,,,,,,,,,,0.429
9413,"Lamb, Australian, imported, fresh, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, cooked",,,,,,,,,,,,,5.441
9414,"Lamb, Australian, imported, fresh, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,4.934
9415,"Lamb, Australian, imported, fresh, composite of trimmed retail cuts, separable lean only, trimmed to 1/8"" fat, cooked",,,,,,,,,,,,,5.812
9416,"Lamb, Australian, imported, fresh, composite of trimmed retail cuts, separable lean only, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,5.595
9417,"Lamb, Australian, imported, fresh, external fat, cooked",,,,,,,,,,,,,4.3
9418,"Lamb, Australian, imported, fresh, external fat, raw",,,,,,,,,,,,,3.16
9419,"Lamb, Australian, imported, fresh, foreshank, separable lean and fat, trimmed to 1/8"" fat, cooked, braised",,,,,,,,,,,,,5.013
9420,"Lamb, Australian, imported, fresh, foreshank, separable lean and fat, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,5.265
9421,"Lamb, Australian, imported, fresh, foreshank, separable lean only, trimmed to 1/8"" fat, cooked, braised",,,,,,,,,,,,,5.39
9422,"Lamb, Australian, imported, fresh, foreshank, separable lean only, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,5.82
9423,"Lamb, Australian, imported, fresh, leg, bottom, boneless, separable lean and fat, trimmed to 1/8"" fat, cooked, roasted",,,,,,,,,,,,,6.646
9424,"Lamb, Australian, imported, fresh, leg, bottom, boneless, separable lean and fat, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,6.363
9425,"Lamb, Australian, imported, fresh, leg, bottom, boneless, separable lean only, trimmed to 1/8"" fat, cooked, roasted",,,,,,,,,,,,,6.88
9426,"Lamb, Australian, imported, fresh, leg, bottom, boneless, separable lean only, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,6.88
9427,"Lamb, Australian, imported, fresh, leg, center slice, bone-in, separable lean and fat, trimmed to 1/8"" fat, cooked, broiled",,,,,,,,,,,,,5.527
9428,"Lamb, Australian, imported, fresh, leg, center slice, bone-in, separable lean and fat, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,5.167
9429,"Lamb, Australian, imported, fresh, leg, center slice, bone-in, separable lean only, trimmed to 1/8"" fat, cooked, broiled",,,,,,,,,,,,,5.725
9430,"Lamb, Australian, imported, fresh, leg, center slice, bone-in, separable lean only, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,5.56
9431,"Lamb, Australian, imported, fresh, leg, hindshank, heel on, bone-in, separable lean and fat, trimmed to 1/8"" fat, cooked, braised",,,,,,,,,,,,,5.163
9432,"Lamb, Australian, imported, fresh, leg, hindshank, heel on, bone-in, separable lean and fat, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,5.084
9433,"Lamb, Australian, imported, fresh, leg, hindshank, heel on, bone-in, separable lean only, trimmed to 1/8"" fat, cooked, braised",,,,,,,,,,,,,5.26
9434,"Lamb, Australian, imported, fresh, leg, hindshank, heel on, bone-in, separable lean only, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,5.54
9435,"Lamb, Australian, imported, fresh, leg, shank half, separable lean and fat, trimmed to 1/8"" fat, cooked, roasted",,,,,,,,,,,,,5.418
9436,"Lamb, Australian, imported, fresh, leg, shank half, separable lean and fat, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,5.06
9437,"Lamb, Australian, imported, fresh, leg, shank half, separable lean only, trimmed to 1/8"" fat, cooked, roasted",,,,,,,,,,,,,5.725
9438,"Lamb, Australian, imported, fresh, leg, shank half, separable lean only, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,5.56
9439,"Lamb, Australian, imported, fresh, leg, sirloin chops, boneless, separable lean and fat, trimmed to 1/8"" fat, cooked, broiled",,,,,,,,,,,,,5.433
9440,"Lamb, Australian, imported, fresh, leg, sirloin chops, boneless, separable lean and fat, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,4.996
9441,"Lamb, Australian, imported, fresh, leg, sirloin chops, boneless, separable lean only, trimmed to 1/8"" fat, cooked, broiled",,,,,,,,,,,,,5.725
9442,"Lamb, Australian, imported, fresh, leg, sirloin chops, boneless, separable lean only, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,5.56
9443,"Lamb, Australian, imported, fresh, leg, sirloin half, boneless, separable lean and fat, trimmed to 1/8"" fat, cooked, roasted",,,,,,,,,,,,,5.281
9444,"Lamb, Australian, imported, fresh, leg, sirloin half, boneless, separable lean and fat, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,4.695
9445,"Lamb, Australian, imported, fresh, leg, sirloin half, boneless, separable lean only, trimmed to 1/8"" fat, cooked, roasted",,,,,,,,,,,,,5.725
9446,"Lamb, Australian, imported, fresh, leg, sirloin half, boneless, separable lean only, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,5.56
9447,"Lamb, Australian, imported, fresh, leg, trotter off, bone-in, separable lean and fat, trimmed to 1/8"" fat, cooked, roasted",,,,,,,,,,,,,6.783
9448,"Lamb, Australian, imported, fresh, leg, trotter off, bone-in, separable lean and fat, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,6.251
9449,"Lamb, Australian, imported, fresh, leg, trotter off, bone-in, separable lean only, trimmed to 1/8"" fat, cooked, roasted",,,,,,,,,,,,,7.19
9450,"Lamb, Australian, imported, fresh, leg, trotter off, bone-in, separable lean only, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,6.65
9451,"Lamb, Australian, imported, fresh, leg, whole (shank and sirloin), separable lean and fat, trimmed to 1/8"" fat, cooked, roasted",,,,,,,,,,,,,5.383
9452,"Lamb, Australian, imported, fresh, leg, whole (shank and sirloin), separable lean and fat, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,4.964
9453,"Lamb, Australian, imported, fresh, leg, whole (shank and sirloin), separable lean only, trimmed to 1/8"" fat, cooked, roasted",,,,,,,,,,,,,5.725
9454,"Lamb, Australian, imported, fresh, leg, whole (shank and sirloin), separable lean only, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,5.56
9455,"Lamb, Australian, imported, fresh, loin, separable lean and fat, trimmed to 1/8"" fat, cooked, broiled",,,,,,,,,,,,,7.831
9456,"Lamb, Australian, imported, fresh, loin, separable lean and fat, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,6.652
9457,"Lamb, Australian, imported, fresh, loin, separable lean only, trimmed to 1/8"" fat, cooked, broiled",,,,,,,,,,,,,8.15
9458,"Lamb, Australian, imported, fresh, loin, separable lean only, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,7.283
9459,"Lamb, Australian, imported, fresh, rack, roast, frenched, bone-in, separable lean and fat, trimmed to 1/8"" fat, cooked, roasted",,,,,,,,,,,,,6.196
9460,"Lamb, Australian, imported, fresh, rack, roast, frenched, bone-in, separable lean only, trimmed to 1/8"" fat, cooked, roasted",,,,,,,,,,,,,6.63
9461,"Lamb, Australian, imported, fresh, rack, roast, frenched, denuded, bone-in, separable lean and fat, trimmed to 0"" fat, cooked, roasted",,,,,,,,,,,,,7.616
9462,"Lamb, Australian, imported, fresh, rack, roast, frenched, denuded, bone-in, separable lean only, trimmed to 0"" fat, cooked, roasted",,,,,,,,,,,,,7.81
9463,"Lamb, Australian, imported, fresh, rib chop, frenched, bone-in, separable lean and fat, trimmed to 1/8"" fat, cooked, grilled",,,,,,,,,,,,,7.825
9464,"Lamb, Australian, imported, fresh, rib chop, frenched, bone-in, separable lean only, trimmed to 1/8"" fat, cooked, grilled",,,,,,,,,,,,,8.93
9465,"Lamb, Australian, imported, fresh, rib chop, frenched, denuded, bone-in, separable lean and fat, trimmed to 0"" fat, cooked, grilled",,,,,,,,,,,,,8.475
9466,"Lamb, Australian, imported, fresh, rib chop, frenched, denuded, bone-in, separable lean only, trimmed to 0"" fat, cooked, grilled",,,,,,,,,,,,,9.14
9467,"Lamb, Australian, imported, fresh, rib chop/rack roast, frenched, bone-in, separable lean and fat, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,6.482
9468,"Lamb, Australian, imported, fresh, rib chop/rack roast, frenched, bone-in, separable lean only, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,7.62
9469,"Lamb, Australian, imported, fresh, seam fat, raw",,,,,,,,,,,,,3.94
9470,"Lamb, Australian, imported, fresh, separable fat, cooked",,,,,,,,,,,,,2.89
9471,"Lamb, Australian, imported, fresh, separable fat, raw",,,,,,,,,,,,,1.753
9472,"Lamb, Australian, imported, fresh, shoulder ,blade, separable lean only, trimmed to 1/8"" fat, cooked, broiled",,,,,,,,,,,,,4.695
9473,"Lamb, Australian, imported, fresh, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, cooked, braised",,,,,,,,,,,,,4.369
9474,"Lamb, Australian, imported, fresh, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,3.994
9475,"Lamb, Australian, imported, fresh, shoulder, arm, separable lean only,   trimmed to 1/8"" fat, cooked, braised",,,,,,,,,,,,,4.695
9476,"Lamb, Australian, imported, fresh, shoulder, arm, separable lean only, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,4.58
9477,"Lamb, Australian, imported, fresh, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, cooked, broiled",,,,,,,,,,,,,4.43
9478,"Lamb, Australian, imported, fresh, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,4.004
9479,"Lamb, Australian, imported, fresh, shoulder, blade, separable lean only, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,4.58
9480,"Lamb, Australian, imported, fresh, shoulder, whole (arm and blade), separable lean and fat, trimmed to 1/8"" fat, cooked",,,,,,,,,,,,,4.415
9481,"Lamb, Australian, imported, fresh, shoulder, whole (arm and blade), separable lean and fat, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,4.001
9482,"Lamb, Australian, imported, fresh, shoulder, whole (arm and blade), separable lean only,   trimmed to 1/8"" fat, raw",,,,,,,,,,,,,4.58
9483,"Lamb, Australian, imported, fresh, shoulder, whole (arm and blade), separable lean only, trimmed to 1/8"" fat, cooked",,,,,,,,,,,,,4.695
9484,"Lamb, Australian, imported, fresh, tenderloin, boneless, separable lean and fat, trimmed to 1/8"" fat, cooked, roasted",,,,,,,,,,,,,9.544
9485,"Lamb, Australian, imported, fresh, tenderloin, boneless, separable lean and fat, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,8.394
9486,"Lamb, Australian, imported, fresh, tenderloin, boneless, separable lean only, trimmed to 1/8"" fat, cooked, roasted",,,,,,,,,,,,,9.58
9487,"Lamb, Australian, imported, fresh, tenderloin, boneless, separable lean only, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,8.49
9488,"Lamb, composite of trimmed retail cuts, separable fat, trimmed to 1/4"" fat, choice, cooked",,,,,,,,,,,,,7.8
9489,"Lamb, composite of trimmed retail cuts, separable fat, trimmed to 1/4"" fat, choice, raw",,,,,,,,,,,,,6.37
9490,"Lamb, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/4"" fat, choice, cooked",,,,,,,,,,,,,6.66
9491,"Lamb, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/4"" fat, choice, raw",,,,,,,,,,,,,6.1
9492,"Lamb, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, choice, cooked",,,,,,,,,,,,,6.55
9493,"Lamb, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, choice, raw",,,,,,,,,,,,,6.07
9494,"Lamb, composite of trimmed retail cuts, separable lean only, trimmed to 1/4"" fat, choice, cooked",,,,,,,,,,,,,6.32
9495,"Lamb, composite of trimmed retail cuts, separable lean only, trimmed to 1/4"" fat, choice, raw",,,,,,,,,,,,,6.0
9496,"Lamb, cubed for stew or kabob (leg and shoulder), separable lean only, trimmed to 1/4"" fat, cooked, braised",,,,,,,,,,,,,5.95
9497,"Lamb, cubed for stew or kabob (leg and shoulder), separable lean only, trimmed to 1/4"" fat, cooked, broiled",,,,,,,,,,,,,6.61
9498,"Lamb, cubed for stew or kabob (leg and shoulder), separable lean only, trimmed to 1/4"" fat, raw",,,,,,,,,,,,,5.95
9499,"Lamb, foreshank, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, braised",,,,,,,,,,,,,5.46
9500,"Lamb, foreshank, separable lean and fat, trimmed to 1/4"" fat, choice, raw",,,,,,,,,,,,,5.47
9501,"Lamb, foreshank, separable lean and fat, trimmed to 1/8"" fat, choice, raw",,,,,,,,,,,,,5.47
9502,"Lamb, foreshank, separable lean and fat, trimmed to 1/8"" fat, cooked, braised",,,,,,,,,,,,,5.46
9503,"Lamb, foreshank, separable lean only, trimmed to 1/4"" fat, choice, cooked, braised",,,,,,,,,,,,,5.07
9504,"Lamb, foreshank, separable lean only, trimmed to 1/4"" fat, choice, raw",,,,,,,,,,,,,5.31
9505,"Lamb, ground, cooked, broiled",,,,,,,,,,,,,6.7
9506,"Lamb, ground, raw",,,,,,,,,,,,,5.96
9507,"Lamb, leg, shank half, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, roasted",,,,,,,,,,,,,6.55
9508,"Lamb, leg, shank half, separable lean and fat, trimmed to 1/4"" fat, choice, raw",,,,,,,,,,,,,6.22
9509,"Lamb, leg, shank half, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",,,,,,,,,,,,,6.52
9510,"Lamb, leg, shank half, separable lean and fat, trimmed to 1/8"" fat, choice, raw",,,,,,,,,,,,,6.21
9511,"Lamb, leg, shank half, separable lean only, trimmed to 1/4"" fat, choice, cooked, roasted",,,,,,,,,,,,,6.39
9512,"Lamb, leg, shank half, separable lean only, trimmed to 1/4"" fat, choice, raw",,,,,,,,,,,,,6.19
9513,"Lamb, leg, sirloin half, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, roasted",,,,,,,,,,,,,6.62
9514,"Lamb, leg, sirloin half, separable lean and fat, trimmed to 1/4"" fat, choice, raw",,,,,,,,,,,,,6.34
9515,"Lamb, leg, sirloin half, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",,,,,,,,,,,,,6.59
9516,"Lamb, leg, sirloin half, separable lean and fat, trimmed to 1/8"" fat, choice, raw",,,,,,,,,,,,,6.34
9517,"Lamb, leg, sirloin half, separable lean only, trimmed to 1/4"" fat, choice, cooked, roasted",,,,,,,,,,,,,6.27
9518,"Lamb, leg, sirloin half, separable lean only, trimmed to 1/4"" fat, choice, raw",,,,,,,,,,,,,6.33
9519,"Lamb, leg, whole (shank and sirloin), separable lean and fat, trimmed to 1/4"" fat, choice, cooked, roasted",,,,,,,,,,,,,6.59
9520,"Lamb, leg, whole (shank and sirloin), separable lean and fat, trimmed to 1/4"" fat, choice, raw",,,,,,,,,,,,,6.26
9521,"Lamb, leg, whole (shank and sirloin), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",,,,,,,,,,,,,6.53
9522,"Lamb, leg, whole (shank and sirloin), separable lean and fat, trimmed to 1/8"" fat, choice, raw",,,,,,,,,,,,,6.25
9523,"Lamb, leg, whole (shank and sirloin), separable lean only, trimmed to 1/4"" fat, choice, cooked, roasted",,,,,,,,,,,,,6.34
9524,"Lamb, leg, whole (shank and sirloin), separable lean only, trimmed to 1/4"" fat, choice, raw",,,,,,,,,,,,,6.23
9525,"Lamb, loin, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, broiled",,,,,,,,,,,,,7.1
9526,"Lamb, loin, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, roasted",,,,,,,,,,,,,7.1
9527,"Lamb, loin, separable lean and fat, trimmed to 1/4"" fat, choice, raw",,,,,,,,,,,,,6.47
9528,"Lamb, loin, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",,,,,,,,,,,,,7.06
9529,"Lamb, loin, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",,,,,,,,,,,,,7.05
9530,"Lamb, loin, separable lean and fat, trimmed to 1/8"" fat, choice, raw",,,,,,,,,,,,,6.48
9531,"Lamb, loin, separable lean only, trimmed to 1/4"" fat, choice, cooked, broiled",,,,,,,,,,,,,6.85
9532,"Lamb, loin, separable lean only, trimmed to 1/4"" fat, choice, cooked, roasted",,,,,,,,,,,,,6.83
9533,"Lamb, loin, separable lean only, trimmed to 1/4"" fat, choice, raw",,,,,,,,,,,,,6.51
9534,"Lamb, New Zealand, imported, brains, cooked, soaked and fried",,,,,,,,,,,,,2.995
9535,"Lamb, New Zealand, imported, brains, raw",,,,,,,,,,,,,3.812
9536,"Lamb, New Zealand, imported, breast, separable lean only, cooked, braised",,,,,,,,,,,,,3.654
9537,"Lamb, New Zealand, imported, breast, separable lean only, raw",,,,,,,,,,,,,4.949
9538,"Lamb, New Zealand, imported, chump, boneless, separable lean only, cooked, fast roasted",,,,,,,,,,,,,3.571
9539,"Lamb, New Zealand, imported, chump, boneless, separable lean only, raw",,,,,,,,,,,,,5.256
9540,"Lamb, New Zealand, imported, flap, boneless, separable lean and fat, cooked, braised",,,,,,,,,,,,,2.744
9541,"Lamb, New Zealand, imported, flap, boneless, separable lean and fat, raw",,,,,,,,,,,,,3.501
9542,"Lamb, New Zealand, imported, flap, boneless, separable lean only, cooked, braised",,,,,,,,,,,,,3.343
9543,"Lamb, New Zealand, imported, flap, boneless, separable lean only, raw",,,,,,,,,,,,,4.617
9544,"Lamb, New Zealand, imported, fore-shank, separable lean and fat, cooked, braised",,,,,,,,,,,,,3.826
9545,"Lamb, New Zealand, imported, fore-shank, separable lean and fat, raw",,,,,,,,,,,,,4.094
9546,"Lamb, New Zealand, imported, fore-shank, separable lean only, cooked, braised",,,,,,,,,,,,,4.103
9547,"Lamb, New Zealand, imported, fore-shank, separable lean only, raw",,,,,,,,,,,,,4.465
9548,"Lamb, New Zealand, imported, frozen, composite of trimmed retail cuts, separable fat, cooked",,,,,,,,,,,,,8.03
